date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:08	10530/10530	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:18:51%20GMT	http://docs.laravel.fr/4.1	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.html	(from )
17:09:08	45/45	---M-Z	200	added ('OK')	text/plain	etag:%22c161d3-19-4ecbb1f89b2c0%22	http://docs.laravel.fr/robots.txt		(from )
17:09:09	2444/2444	---M-Z	200	added ('OK')	text/css	etag:%22c1614d-98c-4ecbb1f89b2c0%22	http://docs.laravel.fr/css/normalize.css	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/css/normalize.css	(from http://docs.laravel.fr/4.1)
17:09:10	22084/22084	---M-Z	200	added ('OK')	text/css	etag:%22c1614c-5644-4ecbb1f89b2c0%22	http://docs.laravel.fr/css/font-awesome.min.css	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/css/font-awesome.min.css	(from http://docs.laravel.fr/4.1)
17:09:10	11775/11775	---M-Z	200	added ('OK')	text/css	etag:%22c1605e-2dff-4efb1312b1700%22	http://docs.laravel.fr/css/app.css	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/css/app.css	(from http://docs.laravel.fr/4.1)
17:09:11	5722/5722	---M--	200	added ('OK')	image/png	etag:%22c16157-165a-4ecbb1f89b2c0%22	http://docs.laravel.fr/img/laravel_logo.png	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/img/laravel_logo.png	(from http://docs.laravel.fr/4.1)
17:09:12	10510/10510	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:18:55%20GMT	http://docs.laravel.fr/dev	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/dev.html	(from http://docs.laravel.fr/4.1)
17:09:13	10383/10383	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:18:56%20GMT	http://docs.laravel.fr/4.0	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4-2.html	(from http://docs.laravel.fr/4.1)
17:09:13	393/393	---MCZ	302	error ('Found')	text/html	date:Mon,%2003%20Mar%202014%2017:18:56%20GMT	http://docs.laravel.fr/	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/index.html	(from http://docs.laravel.fr/4.1)
17:09:14	18825/18825	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:18:57%20GMT	http://docs.laravel.fr/3	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/3.html	(from http://docs.laravel.fr/4.1)
17:09:15	10530/10530	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:18:58%20GMT	http://docs.laravel.fr/4.1/introduction	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/introduction.html	(from http://docs.laravel.fr/4.1)
17:09:16	16792/16792	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:18:59%20GMT	http://docs.laravel.fr/4.1/quick	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/quick.html	(from http://docs.laravel.fr/4.1)
17:09:17	10532/10532	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:00%20GMT	http://docs.laravel.fr/4.1/releases	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/releases.html	(from http://docs.laravel.fr/4.1)
17:09:18	10546/10546	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:01%20GMT	http://docs.laravel.fr/4.1/upgrade	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/upgrade.html	(from http://docs.laravel.fr/4.1)
17:09:19	10565/10565	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:02%20GMT	http://docs.laravel.fr/4.1/installation	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/installation.html	(from http://docs.laravel.fr/4.1)
17:09:20	15454/15454	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:03%20GMT	http://docs.laravel.fr/4.1/configuration	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/configuration.html	(from http://docs.laravel.fr/4.1)
17:09:21	15170/15170	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:04%20GMT	http://docs.laravel.fr/4.1/lifecycle	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/lifecycle.html	(from http://docs.laravel.fr/4.1)
17:09:22	18445/18445	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:05%20GMT	http://docs.laravel.fr/4.1/routing	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/routing.html	(from http://docs.laravel.fr/4.1)
17:09:23	13027/13027	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:06%20GMT	http://docs.laravel.fr/4.1/requests	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/requests.html	(from http://docs.laravel.fr/4.1)
17:09:25	15350/15350	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:08%20GMT	http://docs.laravel.fr/4.1/responses	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/responses.html	(from http://docs.laravel.fr/4.1)
17:09:26	16001/16001	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:09%20GMT	http://docs.laravel.fr/4.1/controllers	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/controllers.html	(from http://docs.laravel.fr/4.1)
17:09:27	12005/12005	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:11%20GMT	http://docs.laravel.fr/4.1/errors	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/errors.html	(from http://docs.laravel.fr/4.1)
17:09:29	22112/22112	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:12%20GMT	http://docs.laravel.fr/4.1/security	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/security.html	(from http://docs.laravel.fr/4.1)
17:09:30	11982/11982	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:13%20GMT	http://docs.laravel.fr/4.1/cache	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/cache.html	(from http://docs.laravel.fr/4.1)
17:09:31	12365/12365	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:14%20GMT	http://docs.laravel.fr/4.1/events	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/events.html	(from http://docs.laravel.fr/4.1)
17:09:32	24543/24543	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:15%20GMT	http://docs.laravel.fr/4.1/extending	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/extending.html	(from http://docs.laravel.fr/4.1)
17:09:33	20195/20195	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:16%20GMT	http://docs.laravel.fr/4.1/facades	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/facades.html	(from http://docs.laravel.fr/4.1)
17:09:34	14137/14137	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:17%20GMT	http://docs.laravel.fr/4.1/html	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/html.html	(from http://docs.laravel.fr/4.1)
17:09:35	17729/17729	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:18%20GMT	http://docs.laravel.fr/4.1/helpers	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/helpers.html	(from http://docs.laravel.fr/4.1)
17:09:37	15357/15357	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:19%20GMT	http://docs.laravel.fr/4.1/ioc	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/ioc.html	(from http://docs.laravel.fr/4.1)
17:09:37	10838/10838	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:20%20GMT	http://docs.laravel.fr/4.1/localization	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/localization.html	(from http://docs.laravel.fr/4.1)
17:09:38	12102/12102	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:21%20GMT	http://docs.laravel.fr/4.1/mail	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/mail.html	(from http://docs.laravel.fr/4.1)
17:09:39	26379/26379	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:22%20GMT	http://docs.laravel.fr/4.1/packages	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/packages.html	(from http://docs.laravel.fr/4.1)
17:09:40	10902/10902	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:23%20GMT	http://docs.laravel.fr/4.1/pagination	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/pagination.html	(from http://docs.laravel.fr/4.1)
17:09:41	18145/18145	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:24%20GMT	http://docs.laravel.fr/4.1/queues	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/queues.html	(from http://docs.laravel.fr/4.1)
17:09:42	10338/10338	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:25%20GMT	http://docs.laravel.fr/4.1/session	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/session.html	(from http://docs.laravel.fr/4.1)
17:09:43	9524/9524	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202014%2017:19:26%20GMT	http://docs.laravel.fr/4.1/ssh	E:/web/framework/laravel/Laravel%20Doc/docs.laravel.fr/4.1/ssh.html	(from http://docs.laravel.fr/4.1)
